-2453024.6168 -3672022.7592 4327490.2075	-188100 36.203183
-2452017.1113 -3672695.6041 4327490.2075	-188100 37.451569
-2451009.4212 -3673368.1726 4327490.2075	-188100 38.699955
-2450001.5466 -3674040.4647 4327490.2075	-188100 39.948340
-2448993.4876 -3674712.4802 4327490.2075	-188100 41.196726
-2447985.2444 -3675384.2191 4327490.2075	-188100 42.445111
-2446976.8168 -3676055.6813 4327490.2075	-188100 43.693497
-2445968.2051 -3676726.8669 4327490.2075	-188100 44.941883
-2444959.4093 -3677397.7758 4327490.2075	-188100 46.190268
-2443950.4294 -3678068.4079 4327490.2075	-188100 47.438654
-2442941.2656 -3678738.7631 4327490.2075	-188100 48.687040
-2441931.8537 -3679408.8841 4327490.2075	-188100 49.935425
-2440922.3223 -3680078.6854 4327490.2075	-188100 51.183811
-2439912.6071 -3680748.2098 4327490.2075	-188100 52.432197
-2438902.7082 -3681417.4572 4327490.2075	-188100 53.680582
-2437892.6258 -3682086.4275 4327490.2075	-188100 54.928968
-2436882.3599 -3682755.1206 4327490.2075	-188100 56.177353
-2435871.9106 -3683423.5365 4327490.2075	-188100 57.425739
-2434861.2779 -3684091.6753 4327490.2075	-188100 58.674125
-2433850.4620 -3684759.5367 4327490.2075	-188100 59.922510
-2432839.4629 -3685427.1207 4327490.2075	-188100 61.170896
-2431828.2807 -3686094.4274 4327490.2075	-188100 62.419282
-2430816.9154 -3686761.4566 4327490.2075	-188100 63.667667
-2429805.3672 -3687428.2084 4327490.2075	-188100 64.916053
-2428793.6361 -3688094.6826 4327490.2075	-188100 66.164438
-2427781.7221 -3688760.8792 4327490.2075	-188100 67.412824
-2426769.6255 -3689426.7982 4327490.2075	-188100 68.661210
-2425757.2818 -3690092.4818 4327490.2075	-188100 69.909595
-2424744.8199 -3690757.8453 4327490.2075	-188100 71.157981
-2423732.1755 -3691422.9310 4327490.2075	-188100 72.406367
-2422719.3487 -3692087.7389 4327490.2075	-188100 73.654752
-2421706.3395 -3692752.2689 4327490.2075	-188100 74.903138
-2420693.1480 -3693416.5210 4327490.2075	-188100 76.151524
-2419679.7744 -3694080.4950 4327490.2075	-188100 77.399909
-2418666.2186 -3694744.1911 4327490.2075	-188100 78.648295
-2417652.4808 -3695407.6090 4327490.2075	-188100 79.896680
-2416638.5610 -3696070.7488 4327490.2075	-188100 81.145066
-2415624.4593 -3696733.6103 4327490.2075	-188100 82.393452
-2414610.1758 -3697396.1937 4327490.2075	-188100 83.641837
-2413595.7106 -3698058.4987 4327490.2075	-188100 84.890223
-2412581.0637 -3698720.5255 4327490.2075	-188100 86.138609
-2411566.2352 -3699382.2738 4327490.2075	-188100 87.386994
-2410551.1606 -3700043.7857 4327490.2075	-188100 88.635380
-2409535.9692 -3700704.9771 4327490.2075	-188100 89.883765
-2408520.5964 -3701365.8899 4327490.2075	-188100 91.132151
-2407505.0423 -3702026.5242 4327490.2075	-188100 92.380537
-2406489.3070 -3702686.8798 4327490.2075	-188100 93.628922
-2405473.3906 -3703346.9567 4327490.2075	-188100 94.877308
-2404457.2931 -3704006.7549 4327490.2075	-188100 96.125694
-2403441.0147 -3704666.2742 4327490.2075	-188100 97.374079
-2402424.5553 -3705325.5148 4327490.2075	-188100 98.622465
-2401407.9151 -3705984.4764 4327490.2075	-188100 99.870850
-2400391.0942 -3706643.1591 4327490.2075	-188100 101.119236
-2399374.0926 -3707301.5629 4327490.2075	-188100 102.367622
-2398356.9104 -3707959.6876 4327490.2075	-188100 103.616007
-2397339.5477 -3708617.5332 4327490.2075	-188100 104.864393
-2396322.0046 -3709275.0996 4327490.2075	-188100 106.112779
-2395304.2811 -3709932.3869 4327490.2075	-188100 107.361164
-2394286.3125 -3710589.4367 4327490.2075	-188100 108.609550
-2393268.2285 -3711246.1655 4327490.2075	-188100 109.857936
-2392249.9644 -3711902.6149 4327490.2075	-188100 111.106321
-2391231.5202 -3712558.7849 4327490.2075	-188100 112.354707
-2390212.8960 -3713214.6755 4327490.2075	-188100 113.603092
-2389194.0919 -3713870.2866 4327490.2075	-188100 114.851478
-2388175.1080 -3714525.6182 4327490.2075	-188100 116.099864
-2387155.9443 -3715180.6702 4327490.2075	-188100 117.348249
-2386136.6009 -3715835.4425 4327490.2075	-188100 118.596635
-2385117.0780 -3716489.9352 4327490.2075	-188100 119.845021
-2384097.3755 -3717144.1482 4327490.2075	-188100 121.093406
-2383077.4936 -3717798.0814 4327490.2075	-188100 122.341792
-2382057.4324 -3718451.7347 4327490.2075	-188100 123.590177
-2381037.1918 -3719105.1082 4327490.2075	-188100 124.838563
-2380016.7720 -3719758.2017 4327490.2075	-188100 126.086949
-2378996.1731 -3720411.0153 4327490.2075	-188100 127.335334
-2377975.3302 -3721063.5903 4327490.2075	-188100 128.583720
-2376954.3732 -3721715.8438 4327490.2075	-188100 129.832106
-2375933.2373 -3722367.8171 4327490.2075	-188100 131.080491
-2374911.9226 -3723019.5103 4327490.2075	-188100 132.328877
-2373890.4292 -3723670.9232 4327490.2075	-188100 133.577263
-2372868.7571 -3724322.0559 4327490.2075	-188100 134.825648
-2371846.9063 -3724972.9083 4327490.2075	-188100 136.074034
-2370824.8771 -3725623.4803 4327490.2075	-188100 137.322419
-2369802.6694 -3726273.7718 4327490.2075	-188100 138.570805
-2368780.2833 -3726923.7829 4327490.2075	-188100 139.819191
-2367757.7190 -3727573.5135 4327490.2075	-188100 141.067576
-2366734.9764 -3728222.9635 4327490.2075	-188100 142.315962
-2365712.0557 -3728872.1330 4327490.2075	-188100 143.564348
-2364688.9569 -3729521.0217 4327490.2075	-188100 144.812733
-2363665.6802 -3730169.6298 4327490.2075	-188100 146.061119
-2362642.2255 -3730817.9570 4327490.2075	-188100 147.309504
-2361618.5279 -3731466.0447 4327490.2075	-188100 148.557890
-2360594.7176 -3732113.8103 4327490.2075	-188100 149.806276
-2359570.7297 -3732761.2950 4327490.2075	-188100 151.054661
-2358546.5642 -3733408.4988 4327490.2075	-188100 152.303047
-2357522.2212 -3734055.4215 4327490.2075	-188100 153.551433
-2356497.7007 -3734702.0632 4327490.2075	-188100 154.799818
-2355473.0028 -3735348.4238 4327490.2075	-188100 156.048204
-2354448.1277 -3735994.5033 4327490.2075	-188100 157.296590
-2353423.0753 -3736640.3015 4327490.2075	-188100 158.544975
-2352397.8458 -3737285.8185 4327490.2075	-188100 159.793361
-2351372.4393 -3737931.0542 4327490.2075	-188100 161.041746
-2350346.8558 -3738576.0086 4327490.2075	-188100 162.290132
-2349321.0953 -3739220.6816 4327490.2075	-188100 163.538518
-2348295.1581 -3739865.0731 4327490.2075	-188100 164.786903
-2347269.0441 -3740509.1831 4327490.2075	-188100 166.035289
-2346242.6881 -3741153.0526 4327490.2075	-188100 167.283675
-2345216.2208 -3741796.5995 4327490.2075	-188100 168.532060
-2344189.5770 -3742439.8648 4327490.2075	-188100 169.780446
